,address,others,price
0,"75 Waltham St APT 4, Boston, MA",2 bds · 1 ba · 695 sqft,"$3,200/mo"
1,"(undisclosed Address), Boston, MA",6 bds · 2 ba · -- sqft,"$7,200/mo"
2,"Columbus Ave, Boston, MA","4 bds · 1 ba · 1,450 sqft","$5,200/mo"
3,"47 Rutland Sq APT 5, Boston, MA",1 bd · 1 ba · -- sqft,"$3,100/mo"
4,"881 Massachusetts Ave # 23, Boston, MA",2 bds · 1 ba · -- sqft,"$2,700/mo"
5,"Harrison Ave, Boston, MA",1 bd · 1 ba · -- sqft,"$2,750/mo"
6,"(undisclosed Address), Boston, MA",1 bd · 1 ba · 450 sqft,"$2,000/mo"
7,"104 Union Park St APT 1A, Boston, MA",2 bds · 1 ba · 780 sqft,"$3,000/mo"
8,"Harrison Ave, Boston, MA",1 bd · 1 ba · -- sqft,"$2,750/mo"
9,"(undisclosed Address), Boston, MA","2 bds · 2 ba · 1,100 sqft","$3,675/mo"
10,"533 Columbus Ave APT 12, Boston, MA",1 bd · 1 ba · 530 sqft,"$2,300/mo"
11,"Harrison Ave, Boston, MA",2 bds · 2 ba · -- sqft,"$3,675/mo"
12,"42-1 W Newton St # 318, Boston, MA",1 bd · 1 ba · -- sqft,"$2,350/mo"
13,"(undisclosed Address), Boston, MA",1 bd · 1 ba · -- sqft,"$1,725/mo"
14,"11 Newcomb Street, Boston, MA",2 bds · 1.5 ba · -- sqft,"$3,400/mo"
15,"90 E Brookline St # 2, Boston, MA",2 bds · 1 ba · 650 sqft,"$2,475/mo"
16,"Columbus Ave, Boston, MA",1 bd · 1 ba · 353 sqft,"$2,000/mo"
17,"Tremont St, Boston, MA",1 bd · 1 ba · -- sqft,"$3,250/mo"
18,"771 Tremont St, Boston, MA","1 bd · 1 ba · 1,050 sqft","$3,200/mo"
19,"588 Columbus Ave # 2DD, Boston, MA",4 bds · 1 ba · -- sqft,"$4,600/mo"
