"","name","price","latitude","longitude"
"1","Neptune Oyster",3,42.3632711771092,-71.0560575975533
"2","Giacomo's Ristorante",2,42.36458,-71.05344
"3","Ciao! Pizza & Pasta",2,42.3892518,-71.0409076
"4","Rino's Place",2,42.3780632,-71.0329114
"5","Modern Pastry Shop",1,42.36324,-71.05474
"6","Regina Pizza",2,42.3654185550275,-71.0568833173494
"7","Santarpio's Pizza",2,42.37261,-71.03524
"8","The Daily Catch",2,42.36406,-71.05397
"9","Carmelina's",2,42.36388,-71.05415
"10","Taqueria Jalisco",1,42.37872,-71.02818
"11","Pauli's",2,42.363244212396,-71.0560854227807
"12","Toscanini's Ice Cream",2,42.366042,-71.078206
"13","Island Creek Oyster Bar",3,42.348682243174,-71.095118452365
"14","Flour Bakery + Café",2,42.35137,-71.04881
"15","Mike & Patty's",1,42.348561,-71.067928
"16","Panza",2,42.3646699,-71.05382
"17","Galleria Umberto",1,42.3637299,-71.05425
"18","Row 34",3,42.3495808510305,-71.0475044128162
"19","Atlantic Fish",3,42.3492217873536,-71.0811272917217
"20","Sam LaGrassa's",2,42.35689,-71.05994
"21","Ernesto's",1,42.363353729248,-71.0558242797852
"22","James Hook & Co",2,42.3549617,-71.0509737
"23","Al Dente Restaurant",2,42.36422,-71.05536
"24","La Famiglia Giorgio's",2,42.36459,-71.05571
"25","Toro",3,42.3369631861411,-71.0758940796503
"26","Monica's Mercato",2,42.36511,-71.05558
"27","Saus",1,42.3610800091721,-71.0570718850568
"28","Drink",3,42.35067,-71.04846
"29","O Ya",4,42.3514083135866,-71.056866645813
"30","Italian Express Pizzeria",2,42.367273879279,-71.035738156977
"31","Angela's Cafe - Eagle Hill",2,42.37853,-71.035
"32","Oleana Restaurant",3,42.37055,-71.09713
"33","Rincon Limeño Restaurant",2,42.37984,-71.02687
"34","Yankee Lobster",2,42.347921583679,-71.035987943405
"35","North Street Grille",2,42.3633987875275,-71.0525562839306
"36","Caffé Vittoria",1,42.36418,-71.05448
"37","Legal Sea Foods",3,42.3595530399974,-71.0510174185038
"38","Polcari's Coffee",1,42.36401,-71.0555
"39","Thinking Cup",1,42.3633754209916,-71.0550363743384
"40","Thinking Cup",2,42.3539,-71.06372
"41","Bostonia Public House",2,42.359213,-71.054296
"42","Bricco",3,42.36309,-71.05495
"43","Mamma Maria",3,42.3640543,-71.0533338
"44","Pomodoro",2,42.36454,-71.05349
"45","Life Alive",2,42.366593014329,-71.105495948582
"46","KO Pies At the Shipyard",2,42.364075640365,-71.0316231238073
"47","Lolita Cocina & Tequila Bar Back Bay",2,42.3505860446405,-71.077508474716
"48","Marliave",3,42.357014071346,-71.060306250729
"49","Gaslight",2,42.3409677894859,-71.0673901926598
"50","Luke's Lobster Back Bay",2,42.3485592,-71.0792457
"51","Neptune Oyster",3,42.3632711771092,-71.0560575975533
"52","Giacomo's Ristorante",2,42.36458,-71.05344
"53","Toscanini's Ice Cream",2,42.366042,-71.078206
"54","Regina Pizza",2,42.3654185550275,-71.0568833173494
"55","Modern Pastry Shop",1,42.36324,-71.05474
"56","Sam LaGrassa's",2,42.35689,-71.05994
"57","The Daily Catch",2,42.36406,-71.05397
"58","Ciao! Pizza & Pasta",2,42.3892518,-71.0409076
"59","Carmelina's",2,42.36388,-71.05415
"60","Saus",1,42.3610800091721,-71.0570718850568
"61","Island Creek Oyster Bar",3,42.348682243174,-71.095118452365
"62","Pauli's",2,42.363244212396,-71.0560854227807
"63","Atlantic Fish",3,42.3492217873536,-71.0811272917217
"64","Helmand Restaurant",2,42.36649,-71.07801
"65","Oleana Restaurant",3,42.37055,-71.09713
"66","Mike & Patty's",1,42.348561,-71.067928
"67","Marliave",3,42.357014071346,-71.060306250729
"68","Bostonia Public House",2,42.359213,-71.054296
"69","Piperi Mediterranean Grill",1,42.3585362,-71.0607882
"70","Ernesto's",1,42.363353729248,-71.0558242797852
"71","Panza",2,42.3646699,-71.05382
"72","Galleria Umberto",1,42.3637299,-71.05425
"73","The Paramount",2,42.357291,-71.070088
"74","Al Dente Restaurant",2,42.36422,-71.05536
"75","La Famiglia Giorgio's",2,42.36459,-71.05571
"76","Toro",3,42.3369631861411,-71.0758940796503
"77","Life Alive",2,42.366593014329,-71.105495948582
"78","Monica's Mercato",2,42.36511,-71.05558
"79","Flour Bakery + Café",2,42.35137,-71.04881
"80","Craigie On Main",4,42.3634817952265,-71.0986128859795
"81","Grotto",3,42.3598607550211,-71.063289740014
"82","No. 9 Park",4,42.3576202392578,-71.0627899169922
"83","Row 34",3,42.3495808510305,-71.0475044128162
"84","James Hook & Co",2,42.3549617,-71.0509737
"85","The Friendly Toast",2,42.3666090946934,-71.0902837862191
"86","O Ya",4,42.3514083135866,-71.056866645813
"87","Lolita Cocina & Tequila Bar Back Bay",2,42.3505860446405,-71.077508474716
"88","Caffé Vittoria",1,42.36418,-71.05448
"89","Union Oyster House",2,42.36126,-71.05688
"90","Taco Loco Mexican Grill",1,42.3863690346479,-71.0795889794827
"91","Café Luna",2,42.362925,-71.094225
"92","Thinking Cup",2,42.3539,-71.06372
"93","Polcari's Coffee",1,42.36401,-71.0555
"94","Luke's Lobster Back Bay",2,42.3485592,-71.0792457
"95","Boston Chowda",2,42.360065,-71.055374
"96","North Street Grille",2,42.3633987875275,-71.0525562839306
"97","Thinking Cup",1,42.3633754209916,-71.0550363743384
"98","Eastern Standard Kitchen & Drinks",3,42.348740324378,-71.0960168391466
"99","Shawarma Falafel",1,42.357013,-71.0597644
"100","Drink",3,42.35067,-71.04846
"101","Neptune Oyster",3,42.3632711771092,-71.0560575975533
"102","Row 34",3,42.3495808510305,-71.0475044128162
"103","Flour Bakery + Café",2,42.35137,-71.04881
"104","Giacomo's Ristorante",2,42.36458,-71.05344
